[u],[o],[m],[n],[ŋ]
#*_*s,u*_*#,d*_*t,s*_##,b*_*n
#*_*n,##_*s,d*_*n,t*_##,NA
##_*n,o*_*#,g*_*n,d*_##,NA
#*_*o,#*_*d,n*_##,h*_##,NA
#*_*l,#*_*o,t*_*n,b*_*g,NA
NA,o*_##,l*_*n,g*_##,NA
NA,u*_##,NA,g*_*p,NA
NA,NA,NA,p*_##,NA
NA,NA,NA,l*_##,NA
NA,NA,NA,t*_*m,NA
NA,NA,NA,a*_*n,NA
NA,NA,NA,n*_##,NA
NA,NA,NA,m*_##,NA
